iter	Passed	Remaining
0	337	336881
1	341	170403
2	375	124874
3	386	96301
4	421	83849
5	424	70393
6	433	61441
7	448	55589
8	457	50419
9	478	47351
10	491	44222
11	508	41854
12	512	38887
13	518	36487
14	521	34214
15	523	32186
16	529	30593
17	534	29162
18	536	27711
19	538	26405
20	544	25364
21	547	24322
22	551	23420
23	553	22505
24	557	21743
25	561	21033
26	563	20305
27	565	19621
28	566	18978
29	569	18407
30	576	18011
31	577	17481
32	579	16987
33	581	16524
34	583	16095
35	587	15734
36	589	15343
37	591	14975
38	594	14644
39	596	14322
40	603	14106
41	605	13806
42	607	13528
43	609	13243
44	611	12970
45	614	12749
46	617	12518
47	619	12277
48	620	12045
49	622	11823
50	624	11613
51	625	11407
52	627	11217
53	630	11054
54	632	10868
55	634	10690
56	636	10523
57	637	10357
58	639	10199
59	641	10043
60	643	9911
61	646	9780
62	648	9638
63	649	9499
64	651	9364
65	652	9233
66	653	9105
67	655	8981
68	657	8870
69	662	8806
70	664	8693
71	665	8582
72	667	8474
73	668	8368
74	670	8265
75	671	8165
76	673	8071
77	677	8003
78	679	7920
79	681	7836
80	683	7750
81	685	7677
82	687	7595
83	691	7541
84	693	7466
85	695	7392
86	697	7318
87	699	7251
88	701	7179
89	704	7124
90	707	7066
91	709	6999
92	710	6933
93	712	6868
94	714	6804
95	715	6740
96	717	6679
97	720	6630
98	721	6568
99	723	6509
100	724	6451
101	726	6394
102	727	6338
103	729	6283
104	730	6228
105	734	6192
106	736	6146
107	738	6098
108	740	6051
109	741	6002
110	743	5953
111	744	5905
112	746	5859
113	748	5820
114	751	5781
115	752	5737
116	753	5690
117	755	5646
118	756	5603
119	758	5561
120	759	5520
121	761	5476
122	762	5440
123	765	5405
124	766	5366
125	768	5329
126	769	5289
127	770	5251
128	772	5215
129	773	5178
130	775	5142
131	777	5109
132	779	5080
133	780	5046
134	782	5013
135	783	4979
136	785	4946
137	786	4914
138	788	4881
139	789	4850
140	791	4824
141	793	4796
142	796	4775
143	798	4748
144	800	4720
145	802	4694
146	804	4668
147	805	4639
148	809	4622
149	811	4598
150	813	4571
151	814	4544
152	815	4517
153	817	4490
154	818	4464
155	820	4438
156	823	4419
157	825	4399
158	827	4374
159	828	4350
160	829	4322
161	831	4298
162	832	4274
163	833	4250
164	835	4229
165	837	4209
166	840	4190
167	841	4168
168	843	4146
169	844	4124
170	846	4102
171	847	4081
172	849	4060
173	850	4039
174	853	4022
175	855	4004
176	856	3984
177	858	3963
178	859	3943
179	861	3923
180	862	3903
181	864	3883
182	865	3864
183	870	3858
184	872	3841
185	873	3822
186	874	3804
187	876	3785
188	877	3767
189	879	3748
190	880	3730
191	882	3715
192	885	3703
193	887	3686
194	888	3668
195	890	3651
196	891	3635
197	893	3618
198	894	3602
199	896	3586
200	900	3578
201	902	3566
202	904	3551
203	906	3536
204	908	3523
205	910	3508
206	912	3496
207	920	3505
208	922	3491
209	925	3480
210	934	3494
211	937	3484
212	939	3470
213	941	3457
214	949	3467
215	953	3462
216	956	3449
217	962	3452
218	969	3458
219	972	3447
220	980	3455
221	984	3449
222	987	3442
223	998	3457
224	1001	3449
225	1004	3440
226	1010	3441
227	1013	3430
228	1016	3421
229	1018	3409
230	1020	3397
231	1025	3394
232	1027	3382
233	1029	3369
234	1042	3394
235	1045	3384
236	1051	3385
237	1054	3375
238	1057	3366
239	1059	3354
240	1061	3344
241	1065	3336
242	1068	3327
243	1070	3316
244	1072	3304
245	1074	3293
246	1078	3287
247	1081	3280
248	1084	3269
249	1086	3258
250	1088	3247
251	1095	3252
252	1098	3243
253	1100	3232
254	1102	3220
255	1105	3213
256	1108	3203
257	1110	3193
258	1111	3181
259	1113	3168
260	1114	3156
261	1116	3144
262	1117	3132
263	1121	3127
264	1123	3115
265	1125	3104
266	1126	3093
267	1128	3081
268	1129	3070
269	1131	3059
270	1133	3049
271	1135	3039
272	1137	3028
273	1138	3017
274	1140	3006
275	1141	2994
276	1143	2984
277	1144	2973
278	1146	2962
279	1147	2951
280	1150	2943
281	1152	2933
282	1154	2924
283	1155	2913
284	1157	2903
285	1159	2893
286	1160	2883
287	1162	2874
288	1165	2867
289	1167	2859
290	1169	2849
291	1171	2839
292	1172	2830
293	1176	2826
294	1180	2820
295	1181	2811
296	1183	2801
297	1185	2792
298	1187	2783
299	1188	2773
300	1190	2763
301	1191	2754
302	1194	2748
303	1196	2739
304	1199	2732
305	1200	2723
306	1202	2713
307	1203	2704
308	1205	2695
309	1206	2686
310	1210	2682
311	1213	2675
312	1214	2666
313	1216	2657
314	1217	2648
315	1219	2639
316	1220	2630
317	1222	2622
318	1225	2616
319	1227	2608
320	1228	2599
321	1230	2590
322	1232	2582
323	1233	2574
324	1235	2565
325	1237	2557
326	1239	2551
327	1242	2544
328	1243	2536
329	1244	2527
330	1246	2519
331	1247	2510
332	1249	2503
333	1251	2495
334	1254	2490
335	1256	2483
336	1258	2475
337	1259	2466
338	1260	2458
339	1262	2450
340	1264	2443
341	1265	2435
342	1267	2427
343	1270	2422
344	1271	2414
345	1273	2407
346	1274	2399
347	1276	2391
348	1277	2383
349	1279	2376
350	1280	2368
351	1282	2360
352	1285	2355
353	1288	2350
354	1291	2345
355	1292	2339
356	1296	2334
357	1301	2333
358	1302	2326
359	1304	2318
360	1305	2311
361	1307	2304
362	1309	2297
363	1310	2290
364	1312	2283
365	1315	2277
366	1317	2272
367	1318	2264
368	1320	2257
369	1321	2250
370	1323	2243
371	1324	2236
372	1326	2229
373	1328	2223
374	1330	2217
375	1332	2211
376	1333	2204
377	1335	2197
378	1336	2190
379	1338	2183
380	1339	2176
381	1341	2169
382	1343	2164
383	1345	2158
384	1347	2152
385	1348	2145
386	1350	2138
387	1351	2131
388	1353	2125
389	1354	2118
390	1356	2112
391	1358	2106
392	1360	2101
393	1361	2094
394	1363	2088
395	1364	2081
396	1366	2075
397	1367	2068
398	1369	2062
399	1370	2056
400	1372	2050
401	1375	2046
402	1377	2040
403	1379	2034
404	1380	2028
405	1382	2022
406	1384	2016
407	1385	2010
408	1388	2006
409	1390	2001
410	1392	1995
411	1393	1988
412	1395	1982
413	1396	1976
414	1398	1970
415	1399	1964
416	1401	1958
417	1403	1954
418	1405	1948
419	1406	1942
420	1408	1936
421	1409	1931
422	1411	1925
423	1412	1919
424	1414	1913
425	1415	1907
426	1417	1902
427	1420	1898
428	1422	1892
429	1423	1887
430	1425	1881
431	1426	1875
432	1427	1869
433	1429	1864
434	1430	1858
435	1433	1854
436	1435	1849
437	1437	1843
438	1438	1838
439	1440	1832
440	1441	1827
441	1443	1821
442	1444	1816
443	1445	1810
444	1448	1806
445	1450	1801
446	1451	1795
447	1453	1790
448	1454	1785
449	1456	1779
450	1457	1774
451	1459	1769
452	1460	1763
453	1462	1758
454	1465	1755
455	1467	1750
456	1469	1745
457	1471	1741
458	1473	1736
459	1475	1731
460	1476	1726
461	1478	1722
462	1480	1717
463	1482	1712
464	1484	1707
465	1486	1703
466	1487	1698
467	1489	1693
468	1491	1688
469	1493	1683
470	1495	1679
471	1497	1674
472	1498	1669
473	1500	1664
474	1501	1659
475	1502	1654
476	1504	1649
477	1506	1644
478	1508	1641
479	1511	1637
480	1512	1632
481	1514	1627
482	1515	1622
483	1517	1617
484	1518	1612
485	1520	1607
486	1521	1603
487	1524	1599
488	1526	1594
489	1527	1589
490	1529	1585
491	1530	1580
492	1532	1576
493	1533	1571
494	1535	1566
495	1537	1561
496	1539	1557
497	1540	1553
498	1542	1548
499	1543	1543
500	1545	1539
501	1546	1534
502	1548	1529
503	1549	1525
504	1551	1520
505	1554	1517
506	1556	1513
507	1557	1508
508	1559	1504
509	1560	1499
510	1562	1494
511	1563	1490
512	1565	1485
513	1566	1481
514	1569	1478
515	1571	1473
516	1573	1469
517	1574	1465
518	1576	1460
519	1578	1456
520	1579	1452
521	1581	1447
522	1583	1444
523	1585	1440
524	1587	1436
525	1589	1432
526	1590	1427
527	1592	1423
528	1593	1419
529	1595	1415
530	1599	1412
531	1602	1409
532	1605	1406
533	1606	1402
534	1609	1398
535	1618	1401
536	1622	1399
537	1624	1395
538	1633	1397
539	1639	1396
540	1641	1392
541	1647	1392
542	1655	1392
543	1657	1389
544	1666	1391
545	1669	1388
546	1673	1386
547	1677	1383
548	1682	1382
549	1692	1384
550	1693	1380
551	1695	1376
552	1697	1372
553	1702	1370
554	1704	1366
555	1709	1365
556	1711	1361
557	1713	1357
558	1720	1357
559	1723	1354
560	1725	1350
561	1727	1346
562	1729	1342
563	1735	1341
564	1739	1339
565	1741	1335
566	1742	1331
567	1744	1326
568	1749	1325
569	1754	1323
570	1755	1319
571	1757	1315
572	1759	1311
573	1764	1309
574	1766	1305
575	1768	1301
576	1770	1297
577	1771	1293
578	1773	1289
579	1776	1286
580	1778	1282
581	1781	1279
582	1782	1274
583	1784	1270
584	1785	1266
585	1787	1262
586	1788	1258
587	1791	1255
588	1793	1251
589	1795	1247
590	1796	1243
591	1798	1239
592	1799	1235
593	1801	1231
594	1802	1226
595	1804	1222
596	1807	1219
597	1808	1215
598	1810	1211
599	1811	1207
600	1812	1203
601	1814	1199
602	1815	1195
603	1817	1191
604	1818	1187
605	1821	1184
606	1823	1180
607	1825	1176
608	1826	1172
609	1828	1168
610	1829	1164
611	1831	1160
612	1832	1156
613	1834	1153
614	1836	1149
615	1838	1146
616	1840	1142
617	1841	1138
618	1843	1134
619	1844	1130
620	1846	1126
621	1847	1122
622	1849	1119
623	1852	1116
624	1854	1112
625	1855	1108
626	1857	1104
627	1858	1101
628	1860	1097
629	1861	1093
630	1863	1089
631	1864	1085
632	1869	1084
633	1872	1080
634	1874	1077
635	1876	1074
636	1878	1070
637	1879	1066
638	1882	1063
639	1885	1060
640	1886	1056
641	1888	1052
642	1889	1049
643	1890	1045
644	1892	1041
645	1893	1037
646	1895	1034
647	1898	1031
648	1899	1027
649	1901	1023
650	1902	1020
651	1904	1016
652	1905	1012
653	1907	1009
654	1908	1005
655	1910	1001
656	1912	998
657	1914	995
658	1916	991
659	1917	987
660	1919	984
661	1920	980
662	1922	976
663	1923	973
664	1925	969
665	1928	967
666	1930	963
667	1931	959
668	1932	956
669	1934	952
670	1935	949
671	1937	945
672	1938	942
673	1940	938
674	1943	935
675	1944	932
676	1946	928
677	1947	925
678	1949	921
679	1950	917
680	1952	914
681	1953	910
682	1955	907
683	1957	904
684	1959	901
685	1961	897
686	1963	894
687	1964	890
688	1966	887
689	1967	884
690	1969	880
691	1972	877
692	1974	874
693	1976	871
694	1977	867
695	1978	864
696	1980	860
697	1981	857
698	1983	854
699	1984	850
700	1987	847
701	1988	844
702	1990	840
703	1991	837
704	1993	834
705	1994	830
706	1996	827
707	1997	823
708	1999	820
709	2002	817
710	2004	814
711	2005	811
712	2006	807
713	2008	804
714	2010	801
715	2012	798
716	2014	794
717	2017	792
718	2019	789
719	2020	785
720	2022	782
721	2023	779
722	2025	775
723	2026	772
724	2028	769
725	2029	766
726	2032	763
727	2033	759
728	2035	756
729	2036	753
730	2038	750
731	2040	746
732	2041	743
733	2043	740
734	2044	737
735	2047	734
736	2049	731
737	2051	728
738	2053	725
739	2054	722
740	2056	718
741	2058	715
742	2059	712
743	2062	709
744	2065	706
745	2066	703
746	2068	700
747	2069	697
748	2071	694
749	2072	690
750	2074	687
751	2075	684
752	2078	681
753	2079	678
754	2081	675
755	2082	672
756	2084	669
757	2085	665
758	2087	662
759	2088	659
760	2090	656
761	2093	653
762	2094	650
763	2096	647
764	2097	644
765	2099	641
766	2100	638
767	2102	635
768	2103	632
769	2105	629
770	2108	626
771	2109	623
772	2111	619
773	2112	616
774	2113	613
775	2115	610
776	2117	607
777	2118	604
778	2120	601
779	2122	598
780	2124	595
781	2125	592
782	2127	589
783	2128	586
784	2130	583
785	2131	580
786	2133	577
787	2134	574
788	2137	571
789	2139	568
790	2141	565
791	2142	562
792	2144	559
793	2145	556
794	2147	553
795	2148	550
796	2150	547
797	2153	544
798	2154	542
799	2156	539
800	2157	536
801	2159	533
802	2161	530
803	2162	527
804	2164	524
805	2167	521
806	2168	518
807	2170	515
808	2171	512
